time,open,high,low,close
1770372000,152858,152999,152455,152550
1770373800,152452,152987,152452,152900
1770375600,153005,153617,152750,153496
1770377400,153598,153820,153380,153570
1770379200,153461,153939,152891,153025
1770381000,153034,153810,153034,153752
1770382800,153850,154701,153850,154278
1770384600,154250,154998,154163,154283
1770386400,154208,154387,153026,153546
1770388200,153489,154900,153489,154823
1770390000,154930,155250,154450,154963
1770391800,155000,155200,154505,154700
1770393600,154650,155000,154101,154416
1770395400,154638,154950,154332,154900
1770397200,154900,155358,154900,155098
1770399000,155115,155398,154832,155300
1770400800,155340,155756,155012,155012
1770607800,155546,158500,155546,157160
1770609600,157189,157550,156890,157106
1770611400,157155,157345,156951,157089
1770613200,157199,157501,157108,157470
1770615000,157382,157708,157265,157700
1770616800,157750,157846,157183,157505
1770618600,157465,157647,157311,157480
1770620400,157425,157498,156831,157096
1770622200,157100,157224,156870,157092
1770624000,157000,157500,156999,157390
1770625800,157380,157600,157312,157500
1770627600,157548,157789,157304,157500
1770629400,157520,157520,157201,157410
1770631200,157268,157448,156800,156898
1770633000,156900,157046,156219,156625
1770634800,156650,156948,156564,156920
1770636600,156981,157441,156900,157221
1770638400,157203,157255,157041,157114
1770640200,157245,157301,157011,157044
1770642000,156979,157400,156936,157009
1770643800,157000,157078,156510,156707
1770645600,156761,156900,156646,156807
1770647400,156717,157572,156717,157455
1770649200,157385,157489,157074,157327
1770651000,157411,158337,157411,158271
1770652800,158345,158858,158292,158594
1770654600,158650,159026,158454,158893
1770656400,158920,158995,158481,158782
1770658200,158781,158819,157676,157900
1770660000,157926,158440,157810,158394
1770694200,156541,158070,156001,157400
1770696000,157425,157489,157100,157420
1770697800,157420,157698,157365,157585
1770699600,157550,157672,156950,157000
1770701400,156950,157349,156816,157349
1770703200,157281,157487,157151,157324
1770705000,157282,157499,156999,157006
1770706800,156957,157320,156901,156975
1770708600,157050,157166,156900,157110
1770710400,157090,157248,157057,157180
1770712200,157180,157597,157176,157400
1770714000,157437,157898,157437,157800
1770715800,157788,157847,157570,157800
1770717600,157793,158218,157793,158218
1770719400,158156,158294,157912,157912
1770721200,158026,158149,157989,158122
1770723000,158125,158200,158007,158113
1770724800,158108,158108,157852,157920
1770726600,157920,157988,157303,157527
1770728400,157460,157927,157460,157647
1770730200,157875,158299,157845,158150
1770732000,158167,158769,158101,158663
1770733800,158647,158900,157416,157814
1770735600,157800,157929,157464,157652
1770737400,157650,157651,156762,157101
1770739200,157040,157129,156528,156739
1770741000,156629,157190,156602,157118
1770742800,157171,157500,156988,157500
1770744600,157498,157500,157100,157137
1770746400,157100,157139,156525,156525
1770780600,158049,158436,157808,157947
1770782400,157999,157999,157750,157904
1770784200,157925,157982,157592,157630
1770786000,157621,157873,157560,157846
1770787800,157880,158104,157763,157880
1770789600,157945,158180,157900,158146
1770791400,158102,158227,157953,158206
1770793200,158230,158500,158185,158307
1770795000,158320,158323,158132,158236
1770796800,158260,158295,158115,158124
1770798600,158086,158158,157928,158143
1770800400,158158,158233,158041,158200
1770802200,158260,158639,158234,158402
1770804000,158427,158690,158427,158550
1770805800,158550,159511,158481,159199
1770807600,159262,159651,158912,159651
1770809400,159666,160200,159543,160120
1770811200,160108,160250,159265,159471
1770813000,159597,159639,158295,159155
1770814800,159256,159400,158716,159250
1770816600,159186,159186,157994,158551
1770818400,158500,158880,158352,158597
1770820200,158534,158597,157500,158188
1770822000,158245,158749,157800,157900
1770823800,157889,158295,157605,158240
1770825600,158200,158293,157821,158132
1770827400,158150,158625,158150,158500
1770829200,158500,158949,158315,158780
1770831000,158759,158999,158526,158910
1770832800,158858,158910,158417,158650
1770867000,158000,158173,157701,157915
1770868800,157853,157977,157740,157909
1770870600,157916,158354,157906,158354
1770872400,158359,158686,158259,158531
1770874200,158508,158747,158413,158586
1770876000,158483,158580,158150,158150
1770877800,158210,158210,157874,157875
1770879600,157875,158069,157738,158050
1770881400,158030,158114,157868,158079
1770883200,158150,158260,157950,157950
1770885000,157884,158225,157700,158180
1770886800,158120,158353,158052,158231
1770888600,158273,158488,158172,158362
1770890400,158281,158401,157956,157960
1770892200,157950,158150,157857,158030
1770894000,158030,158043,157907,157945
1770895800,157945,157994,157821,157900
1770897600,157900,157962,157750,157820
1770899400,157821,157902,157353,157553
1770901200,157528,157999,157469,157575
1770903000,157570,158110,157570,157949
1770904800,157933,158017,157587,157669
1770906600,157880,157880,157114,157231
1770908400,157288,157787,157200,157612
1770910200,157700,157899,157531,157531
1770912000,157510,157682,153993,153993
1770913800,152426,154355,149938,153595
1770915600,153659,154725,153249,154050
1770917400,154072,154361,153316,153316
1770919200,153396,153569,152200,152250
1770953400,154336,154837,153750,154476
1770955200,154460,154735,154210,154600
1770957000,154600,154667,154286,154300
1770958800,154485,154599,154142,154499
1770960600,154336,154423,153368,153386
1770962400,153450,153899,153430,153776
1770964200,153850,154190,153751,154190
1770966000,154150,154308,153880,154181
1770967800,154137,154498,154137,154300
1770969600,154309,154601,154280,154549
1770971400,154523,154555,154256,154450
1770973200,154364,154445,153975,154043
1770975000,154024,154232,153948,154162
1770976800,154160,154293,154030,154250
1770978600,154290,154311,153682,153779
1770980400,153800,153820,153282,153575
1770982200,153575,153799,153153,153799
1770984000,153800,154175,153702,154000
1770985800,153999,154150,153900,154016
1770987600,154045,154150,153699,153972
1770989400,154220,154994,154220,154757
1770991200,154758,155399,154607,155166
1770993000,155171,155399,154201,154998
1770994800,155105,155400,154805,155240
1770996600,155300,155698,154449,154450
1770998400,154437,155866,154437,155732
1771000200,155692,155719,155276,155276
1771002000,155334,155565,155112,155404
1771003800,155348,155698,155348,155665
1771005600,155629,156200,155493,156200
1771212600,154999,155100,154386,154661
1771214400,154700,154828,154191,154495
1771216200,154361,154573,154187,154459
1771218000,154415,154800,154125,154800
1771219800,154753,155001,154701,155001
1771221600,155000,155180,154873,155170
1771223400,155142,155400,155080,155080
1771225200,155011,155282,154985,155225
1771227000,155225,155515,155200,155400
1771228800,155400,155529,155190,155399
1771230600,155345,155435,155201,155300
1771232400,155350,155545,155302,155406
1771234200,155472,155550,155334,155442
1771236000,155407,155533,155301,155305
1771237800,155305,155471,155250,155360
1771239600,155377,155441,155210,155441
1771241400,155397,155550,155307,155436
1771243200,155387,155387,155039,155061
1771245000,155121,155388,155100,155249
1771246800,155324,155324,155057,155061
1771248600,155119,155159,154989,155133
1771250400,155208,155250,155037,155037
1771252200,155056,155056,154652,154811
1771254000,154701,154795,154334,154740
1771255800,154759,154799,154480,154728
1771257600,154601,154659,153925,154659
1771259400,154660,154790,154539,154655
1771261200,154745,154885,154724,154842
1771263000,154835,154850,154658,154700
1771264800,154640,154897,154601,154897
1771299000,153550,153959,153522,153801
1771300800,153801,153900,153522,153889
1771302600,153800,153801,153646,153685
1771304400,153725,153725,151931,152261
1771306200,152300,152399,151244,152000
1771308000,152046,152318,151946,152187
1771309800,152111,152721,152070,152542
1771311600,152400,152710,152400,152650
1771313400,152650,153124,152527,152903
1771315200,152995,153150,152850,152920
1771317000,152883,152977,152725,152820
1771318800,152801,152999,152661,152690
1771320600,152661,153010,152520,152839
1771322400,152925,153272,152871,153097
1771324200,153001,153001,152540,152600
1771326000,152600,153066,152600,152995
1771327800,152999,153056,152760,153056
1771329600,153090,153627,153028,153562
