time,open,high,low,close
1778244300,152767,152845,152725,152830
1778244600,152846,152979,152770,152979
1778244900,152975,152980,152721,152756
1778245200,152710,152925,152710,152790
1778245500,152765,152780,152700,152700
1778245800,152720,152749,152635,152727
1778246100,152733,152877,152733,152844
1778246400,152860,152897,152809,152850
1778246700,152890,152900,152834,152834
1778247000,152900,153274,152900,153182
1778247300,153179,153298,153123,153162
1778247600,153125,153220,153078,153156
1778247900,153180,153299,153080,153140
1778248200,153185,153290,153154,153200
1778248500,153188,153387,153188,153387
1778248800,153409,153440,153200,153200
1778249100,153139,153173,152900,152933
1778249400,152950,153099,152800,153059
1778249700,153039,153120,152920,152954
1778250000,152925,152954,152821,152850
1778250300,152859,152985,152776,152827
1778250600,152800,152829,152669,152829
1778250900,152849,152893,152816,152875
1778251200,152863,152906,152800,152826
1778251500,152792,152792,152651,152700
1778251800,152701,152750,152615,152749
1778252100,152767,152767,152680,152688
1778252400,152660,152660,152581,152603
1778252700,152603,152767,152603,152735
1778253000,152631,152631,152436,152488
1778253300,152460,152488,152400,152423
1778253600,152430,152531,152375,152474
1778253900,152464,152570,152401,152570
1778254200,152570,152616,152397,152491
1778254500,152498,152576,152467,152560
1778254800,152560,152560,152367,152367
1778255100,152326,152430,152269,152374
1778255400,152382,152450,152382,152450
1778255700,152343,152371,152250,152371
1778256000,152362,152362,152199,152252
1778256300,152200,152388,152200,152324
1778256600,152251,152335,152220,152326
1778256900,152352,152410,152302,152367
1778257200,152350,152497,152350,152497
1778257500,152493,152493,152348,152411
1778257800,152448,152485,152400,152429
1778258100,152371,152452,152350,152395
1778258400,152374,152374,152250,152282
1778258700,152288,152377,152250,152250
1778259000,152250,152320,152249,152268
1778259300,152278,152305,152218,152218
1778259600,152212,152323,152212,152295
1778259900,152360,152360,152300,152300
1778260200,152290,152375,152258,152375
1778260500,152402,152464,152385,152447
1778260800,152429,152500,152409,152450
1778261100,152469,152550,152469,152536
1778261400,152534,152547,152502,152530
1778261700,152530,152550,152505,152511
1778262000,152514,152567,152513,152567
1778262300,152563,152565,152507,152507
1778262600,152485,152543,152480,152493
1778262900,152566,152589,152495,152589
1778470200,153478,153478,152000,152205
1778470500,152236,152400,152078,152081
1778470800,152170,152260,152090,152260
1778471100,152250,152289,152100,152100
1778471400,152100,152153,151983,151983
1778471700,152025,152025,151900,151971
1778472000,152039,152049,151911,151991
1778472300,151991,151999,151952,151989
1778472600,151989,152012,151941,151970
1778472900,151952,152069,151909,151918
1778473200,151900,151981,151900,151980
1778473500,151985,152037,151965,152020
1778473800,152001,152096,151892,152091
1778474100,152075,152092,152019,152043
1778474400,152012,152189,152012,152167
1778474700,152167,152169,152115,152140
1778475000,152163,152168,152066,152101
1778475300,152125,152137,152092,152101
1778475600,152136,152200,152136,152189
1778475900,152184,152184,152100,152100
1778476200,152090,152100,152090,152100
1778476500,152100,152125,152100,152125
1778476800,152057,152128,152057,152128
1778477100,152127,152144,152056,152068
1778477400,152122,152234,152122,152225
1778477700,152250,152266,152210,152210
1778478000,152252,152262,151916,151922
1778478300,151943,151954,151833,151890
1778478600,151888,151888,151632,151632
1778478900,151634,151670,151500,151645
1778479200,151638,151792,151600,151792
1778479500,151800,151902,151755,151856
1778479800,151860,151922,151860,151922
1778480100,151894,152019,151894,152019
1778480400,152040,152075,151926,151970
1778480700,151937,151985,151902,151948
1778481000,151930,152050,151930,152036
1778481300,152049,152105,152038,152105
1778481600,152089,152150,151968,152130
1778481900,152116,152184,152108,152150
1778482200,152154,152264,152120,152244
1778482500,152248,152250,152200,152200
1778482800,152240,152240,152210,152210
1778483100,152200,152200,152130,152130
1778483400,152130,152218,152120,152218
1778483700,152200,152200,152120,152170
1778484000,152170,152300,152170,152300
1778484300,152300,152385,152300,152344
1778484600,152310,152327,152225,152240
1778484900,152240,152251,152210,152238
1778485200,152211,152241,152150,152150
1778485500,152192,152192,152030,152031
1778485800,152005,152053,152000,152053
1778486100,152100,152100,152044,152044
1778486400,152062,152100,152028,152100
1778486700,152120,152140,152095,152095
1778487000,152053,152227,152053,152200
1778487300,152210,152295,152210,152294
1778487600,152290,152294,152212,152294
1778487900,152274,152274,152242,152242
1778488200,152149,152315,152149,152289
1778488500,152273,152273,152191,152234
1778488800,152215,152224,152151,152195
1778489100,152193,152214,152142,152170
1778489400,152170,152197,152118,152125
1778489700,152126,152126,152100,152100
1778490000,152100,152152,152100,152134
1778490300,152173,152173,152155,152155
1778490600,152140,152140,152140,152140
1778490900,152106,152127,152081,152101
1778491200,152083,152083,151900,151907
1778491500,151923,151987,151890,151900
1778491800,151900,151900,151800,151846
1778492100,151860,152004,151860,151960
1778492400,151961,152130,151961,152100
1778492700,152063,152109,151994,151994
1778493000,152000,152024,151906,151971
1778493300,151966,151980,151884,151900
1778493600,151888,152018,151888,152007
1778493900,151999,151999,151881,151991
1778494200,151980,152007,151980,152007
1778494500,151968,152003,151968,151984
1778494800,151973,152014,151925,152014
1778495100,152022,152035,151999,152019
1778495400,151975,152050,151975,152050
1778495700,152050,152089,151941,151950
1778496000,151950,151980,151935,151935
1778496300,151980,152100,151975,152100
1778496600,152073,152130,152053,152119
1778496900,152086,152126,152086,152100
1778497200,152076,152220,152076,152220
1778497500,152214,152214,152112,152112
1778497800,152175,152175,152129,152140
1778498100,152151,152155,152116,152116
1778498400,152159,152161,152117,152117
1778498700,152120,152196,152120,152194
1778499000,152220,152269,152220,152235
1778499300,152170,152399,152170,152396
1778499600,152400,152480,152400,152400
1778499900,152415,152415,152321,152321
1778500200,152350,152350,152225,152336
1778500500,152358,152400,152322,152400
1778500800,152416,152416,152325,152325
1778501100,152332,152332,152226,152271
1778501400,152282,152282,152201,152260
1778501700,152240,152379,152240,152322
1778502000,152350,152899,152350,152832
1778502300,152823,152889,152693,152881
1778502600,152882,152998,152834,152948
1778502900,152999,153085,152961,152975
1778503200,152996,152996,152790,152894
1778503500,152899,152985,152760,152760
1778503800,152820,152921,152780,152921
1778504100,152854,153119,152852,153048
1778504400,153056,153400,153056,153365
1778504700,153400,153580,153396,153571
1778505000,153578,153690,153389,153673
1778505300,153660,153921,153660,153852
1778505600,153806,154050,153779,153994
1778505900,153979,154040,153770,153791
1778506200,153812,154050,153812,154023
1778506500,154038,154162,154008,154063
1778506800,154063,154300,154063,154272
1778507100,154277,154360,154000,154056
1778507400,154056,154165,153931,154146
1778507700,154122,154230,154052,154055
1778508000,154049,154069,153755,153856
